City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Valencia,ES,73.65,clear sky,39.3333,-0.8333,Masia El Pino
422,Mantua,IT,74.08,broken clouds,45.1667,10.7833,Hotel la Favorita
423,Tezu,IN,76.03,overcast clouds,27.9167,96.1667,Circuit House
424,Walsrode,DE,64.54,clear sky,52.8667,9.6,ANDERS Hotel Walsrode
427,Huarmey,PE,67.77,few clouds,-10.0681,-78.1522,Hotel Miramar
428,Shimoda,JP,79.41,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
429,Karpathos,GR,76.78,clear sky,35.507,27.2132,Alex
431,Aden,YE,84.96,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
437,Seguela,CI,70.32,overcast clouds,7.9611,-6.6731,Hotel le Carrefour
438,Millinocket,US,80.42,clear sky,45.6573,-68.7098,Katahdin Inn & Suites
440,Waingapu,ID,71.91,few clouds,-9.6567,120.2641,Pondok Wisata Elim
442,Pedasi,PA,80.87,overcast clouds,7.5333,-80.0333,Selina Pedasi
444,Benghazi,LY,79.12,clear sky,32.1167,20.0667,Tibesti Hotel
446,Bengkulu,ID,74.53,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
447,Griffith,US,81.12,overcast clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
448,Haines Junction,CA,74.43,clear sky,60.7522,-137.5108,Parkside Inn
450,Lorengau,PG,81.9,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
451,Manicore,BR,83.88,broken clouds,-5.8092,-61.3003,Hotel Durval
454,Sao Joao Da Barra,BR,71.91,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
456,Alta Floresta,BR,84.69,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
461,Bay City,US,81.16,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
462,Omboue,GA,72.14,broken clouds,-1.5746,9.2618,Hotel Olako
464,Prince George,CA,67.28,overcast clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
465,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
466,Muros,ES,73.15,clear sky,42.7762,-9.0603,Apartment Av. Castelao
468,Cedral,MX,83.98,few clouds,23.8,-100.7333,Hotel Rocio
469,Bonthe,SL,75.38,moderate rain,7.5264,-12.505,Bonthe Holiday Village
474,Saint-Joseph,RE,68.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
476,Santa Isabel Do Rio Negro,BR,77.85,overcast clouds,-0.4139,-65.0192,Hotel GSA
477,Bubaque,GW,80.47,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
478,Luanda,AO,71.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
479,Porto Walter,BR,79.72,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
481,Madingou,CG,77.36,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
482,Hami,CN,77.65,scattered clouds,42.8,93.45,Laoyutang Resort
483,Luganville,VU,82.62,few clouds,-15.5333,167.1667,The Espiritu Hotel
484,Poso,ID,76.21,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
487,Mocuba,MZ,63.68,overcast clouds,-16.8392,36.9856,Phama Lodge
489,Ternate,ID,78.48,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
491,San Jose De Las Lajas,CU,76.12,few clouds,22.9614,-82.1511,Hostal Spirit
493,Innisfail,AU,69.87,overcast clouds,-17.5333,146.0333,Moondarra Motel
496,Sao Filipe,CV,74.07,overcast clouds,14.8961,-24.4956,Hotel Xaguate
499,Loandjili,CG,71.47,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
500,Roebourne,AU,64.62,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
501,Makurdi,NG,73.53,broken clouds,7.7411,8.5121,Doo Palace Hotel
502,Mandalgovi,MN,67.08,scattered clouds,45.7625,106.2708,В.Ганбат
503,Saint-Leu,RE,68.86,broken clouds,-21.15,55.2833,La Caz Oceane
506,Khorinsk,RU,62.19,few clouds,52.1657,109.7726,Uda
508,Livramento,BR,84.87,few clouds,-3.0254,-60.1803,Refúgio Samauma
509,Huanren,CN,71.55,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
510,Bilibino,RU,64.49,light rain,68.0546,166.4372,Gostinitsa Severyanka
512,San Lorenzo,PY,61.74,clear sky,-25.3333,-57.5333,Hotel del Sur
513,Maxcanu,MX,75.18,broken clouds,20.5833,-89.9833,Albergue Comunitario San Miguel Arcangel
516,Lethem,GY,77.9,overcast clouds,3.3803,-59.7968,Savannah Inn
518,Sajanan,TN,71.58,scattered clouds,37.0573,9.2426,Centre de culture du tabac sejenene
519,Sinnamary,GF,79.21,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
520,Changping,CN,76.51,heavy intensity rain,40.2186,116.2197,Huachang Hotel
524,Kuroishi,JP,82.58,few clouds,40.6389,140.5922,Takara Onsen Kuroishi
526,Prabumulih,ID,70.83,few clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
527,Xique-Xique,BR,78.48,clear sky,-10.8218,-42.7263,Hotel J. Macedo
529,Bol,TD,80.28,overcast clouds,13.4586,14.7147,Hotel 3 Etoiles
530,Palmas Bellas,PA,82.35,overcast clouds,9.2319,-80.0867,Estación de Chagres
531,Dondo,MZ,65.71,broken clouds,-19.6094,34.7431,Arco Iris
532,Singaraja,ID,75.92,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
535,Kelo,TD,75.63,broken clouds,9.3086,15.8066,Plantation de Kelo
536,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
